user_prompt,url_to_check,func_rating,custom_rating
How blockchain works,https://www.ibm.com/topics/what-is-blockchain,,
Climate change effects,https://www.nationalgeographic.com/environment/article/climate-change-overview,,
COVID-19 vaccine effectiveness,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/effectiveness.html,,
Latest AI advancements,https://www.technologyreview.com/topic/artificial-intelligence,,
Stock market trends,https://www.bloomberg.com/markets,,
Healthy diet tips,https://www.healthline.com/nutrition/healthy-eating-tips,,
Space exploration missions,https://www.nasa.gov/missions,,
Electric vehicle benefits,https://www.tesla.com/benefits,,
History of the internet,https://www.history.com/topics/inventions/history-of-the-internet,,
Nutritional benefits of a vegan diet,https://www.hsph.harvard.edu/nutritionsource/healthy-weight/diet-reviews/vegan-diet/,,
Mental health awareness,https://www.who.int/news-room/fact-sheets/detail/mental-health-strengthening-our-response,,
